Year,MH
1959,120.4
1960,104
1961,90.1
1962,117.9
1963,150.7
1964,191.1
1965,216.5
1966,217.2
1967,240.2
1968,318.1
1969,412.7
1970,401.1
1971,491.3
1972,575.9
1973,579.5
1974,338
1975,212.5
1976,246.2
1977,246.2
1978,275.7
1979,277.4
1980,221.7
1981,241
1982,239.6
1983,295.7
1984,295.5
1985,283.6
1986,244.4
1987,232.9
1988,218.3
1989,198
1990,188.1
1991,170.9
1992,210.4
1993,254.2
1994,304
1995,340
1996,363.4
1997,353.7
1998,373.1
1999,348.1
2000,250.5
2001,193.3
2002,168.5
2003,130.9
2004,130.6
2005,146.8
2006,117.3
2007,95.7
2008,81.9
2009,49.8
2010,50
2011,51.6
2012,54.9
2013,60.3
2014,64.5
2015,70.6
2016,81.2
2017,92.8
2018,96.6
2019,94.6
2020,92.9
