Year,Material,House Type,Material Intensity (kg/m2),GHG Intensity (kgCO2e/kg),GHG/m2 (kgCO2e/m2),,Source MI,Source GHGI
2020,Steel,SF/MH,35.6,1.7,60.52,,"Marinova, RECC, avg","Hasanbeigi, RECC"
2025,Steel,SF/MH,35.6,1.66,59.19,,,
2030,Steel,SF/MH,35.6,1.63,57.85,,,
2035,Steel,SF/MH,35.6,1.59,56.52,,,
2040,Steel,SF/MH,35.6,1.55,55.18,,,
2045,Steel,SF/MH,35.6,1.51,53.85,,,
2050,Steel,SF/MH,35.6,1.48,52.51,,,
2055,Steel,SF/MH,35.6,1.44,51.18,,,
2060,Steel,SF/MH,35.6,1.4,49.84,,,
2020,Steel,MF_lo,28.1,1.7,47.77,,,
2025,Steel,MF_lo,28.1,1.66,46.72,,,
2030,Steel,MF_lo,28.1,1.63,45.66,,,
2035,Steel,MF_lo,28.1,1.59,44.61,,,
2040,Steel,MF_lo,28.1,1.55,43.56,,,
2045,Steel,MF_lo,28.1,1.51,42.5,,,
2050,Steel,MF_lo,28.1,1.48,41.45,,,
2055,Steel,MF_lo,28.1,1.44,40.39,,,
2060,Steel,MF_lo,28.1,1.4,39.34,,,
2020,Steel,MF_hi,68.7,1.7,116.79,,,
2025,Steel,MF_hi,68.7,1.66,114.21,,,
2030,Steel,MF_hi,68.7,1.63,111.64,,,
2035,Steel,MF_hi,68.7,1.59,109.06,,,
2040,Steel,MF_hi,68.7,1.55,106.49,,,
2045,Steel,MF_hi,68.7,1.51,103.91,,,
2050,Steel,MF_hi,68.7,1.48,101.33,,,
2055,Steel,MF_hi,68.7,1.44,98.76,,,
2060,Steel,MF_hi,68.7,1.4,96.18,,,
2020,Steel,MF_avg,48.4,1.7,82.28,,assume 50:50 MF split of lo:hi,
2025,Steel,MF_avg,48.4,1.66,80.34,,,
2030,Steel,MF_avg,48.4,1.63,78.89,,,
2035,Steel,MF_avg,48.4,1.59,76.96,,,
2040,Steel,MF_avg,48.4,1.55,75.02,,,
2045,Steel,MF_avg,48.4,1.51,73.08,,,
