Arch,Foundation,Type,Stories,Garage,Size,Frame,Model m2,MI (kg/m2),GI (kgCO2e/m2),,,,,,,,,,,,
1,Slab,SF,One,Yes,Large,Wood,279, 616 , 176 ,, 616 , 176 ,,,,,,,,,
2,Slab,SF,One,No,Large,Wood,279, 527 , 153 ,, 527 , 153 ,,,,,,,,,
3,Slab,SF,One,Yes,Small,Wood,130, 774 , 233 ,, 774 , 233 ,,,,,,,,,
4,Slab,SF,One,No,Small,Wood,130, 616 , 191 ,, 616 , 191 ,,,,,,,,,
5,Slab,SF,Multiple,Yes,Large,Wood,279, 458 , 150 ,, 458 , 150 ,,,,,,,,,
6,Slab,SF,Multiple,No,Large,Wood,279, 378 , 128 ,, 378 , 128 ,,,,,,,,,
7,Slab,SF,Multiple,No,Small,Wood,130, 464 , 172 ,, 464 , 172 ,,,,,,,,,
8,Slab,SF,One,Yes,Large,Masonry,279, 910 , 256 ,, 910 , 256 ,,,,,,,,,
9,Slab,SF,One,No,Large,Masonry,279, 760 , 221 ,, 760 , 221 ,,,,,,,,,
10,Slab,SF,One,Yes,Small,Masonry,130," 1,232 ", 355 ,," 1,232 ", 355 ,,,,,,,,,
11,Slab,SF,One,No,Small,Masonry,130, 957 , 291 ,, 957 , 291 ,,,,,,,,,
12,Slab,SF,Multiple,Yes,Large,Masonry,279, 818 , 248 ,, 818 , 248 ,,,,,,,,,
13,Slab,SF,Multiple,No,Large,Masonry,279, 681 , 216 ,, 681 , 216 ,,,,,,,,,
14,Slab,SF,Multiple,No,Small,Masonry,130, 907 , 301 ,, 907 , 301 ,,,,,,,,,
15,Strip,MF,Multiple,No,Large,Podium,150, 308 , 115 ,, 308 , 115 ,,,,,,,,,
16,Strip,MF,Multiple,No,Small,Podium,81, 348 , 145 ,, 348 , 145 ,,,,,,,,,
17,Basement,SF,One,Yes,Large,Wood,279, 708 , 214 ,, 708 , 214 ,,,,,,,,,
18,Basement,SF,One,No,Large,Wood,279, 619 , 191 ,, 619 , 191 ,,,,,,,,,
19,Basement,SF,One,Yes,Small,Wood,130, 955 , 294 ,, 955 , 294 ,,,,,,,,,
