,Foundation,Type,Stories,Garage,Size,Frame,mi_Cement,mi_Concrete,mi_Steel,mi_Glass,mi_Gypsum,mi_Insulation,mi_Wood,mi_Fibreglass,mi_Sand/Aggregate,mi_Other,mi_Transport/Construction,mi_Tot,gi20_Cement,gi20_Concrete,gi20_Steel,gi20_Glass,gi20_Gypsum,gi20_Insulation,gi20_Wood,gi20_Fibreglass,gi20_Sand/Aggregate,gi20_Other,gi20_Transport/Construction,gi20_Tot,arch
1,Slab,SF,One,Yes,Large,Wood,14.27232646,387.6476571,5.565427112,6.369291201,19.08486113,1.759326983,49.97950376,68.73354462,53.09342182,9.675138196,0,616.1804983,13.01636173,46.9053665,11.07519995,10.38194466,5.739156247,10.90927359,11.29558345,40.94471367,0.396607861,10.148147,15.19131362,176.0036683,1
2,Slab,SF,One,No,Large,Wood,12.87673987,331.517822,4.990418821,5.786343562,17.20372293,1.745932631,42.28491671,55.85911102,46.3148584,8.075010097,0,526.6548761,11.74358676,40.11365646,9.930933453,9.431740006,5.173464626,10.84936869,9.625033041,34.34006414,0.345971992,8.451207922,12.904664,152.9096911,2
3,Slab,SF,One,Yes,Small,Wood,21.43753791,468.9837578,7.274465883,9.595040775,25.12560347,2.375380399,66.8253647,78.93495303,80.53724769,12.60452855,0,773.6938802,19.55103457,56.74703469,14.47618711,15.63991646,7.555714614,15.4804473,15.17789257,54.54549491,0.60161324,14.37055465,19.12311781,233.2690079,3
4,Slab,SF,One,No,Small,Wood,18.74270515,372.7611834,6.265189484,8.345867262,21.49318619,2.346678218,52.55038759,56.74051626,67.44806002,9.736791108,0,616.4305647,17.0933471,45.10410319,12.46772707,13.60376364,6.463382312,15.35207966,12.06198399,42.12780828,0.503837008,11.21183758,15.07501462,191.0648845,4
5,Slab,SF,Multiple,Yes,Large,Wood,13.98928254,244.3224883,4.926739563,7.200486362,21.90601481,1.681863139,58.91888236,41.78357695,55.71337169,7.873131817,0,458.3158376,12.75822568,29.56302109,9.80421173,11.73679277,6.5875272,9.219169764,14.2363223,32.42992789,0.416178887,10.04483769,12.7942367,149.5904517,5
6,Slab,SF,Multiple,No,Large,Wood,12.69226593,196.2112011,4.383254685,6.617538722,20.157741,1.668468788,51.4548251,28.90914335,49.41357673,6.316056075,0,377.8240715,11.57534653,23.74155534,8.722676823,10.78658812,6.061790254,9.159264867,12.62527268,25.82527836,0.369119418,8.437904608,10.69989183,128.0046888,6
7,Slab,SF,Multiple,No,Small,Wood,17.86886045,223.0008169,5.933645869,9.985087654,28.99527857,2.281124715,66.88960144,30.23918861,70.15908862,8.179666412,0,463.5323592,16.29640073,26.98309884,11.80795528,16.27569288,8.719394552,11.89648844,16.43215207,37.57702626,0.524088392,11.96211601,13.10508052,171.579494,7
8,Slab,SF,One,Yes,Large,Masonry,38.22439732,599.7679448,7.626991486,6.369291201,19.08486113,2.306804222,33.26106286,68.73354462,121.2389236,13.87685066,0,910.4906718,34.86065036,72.57192132,15.17771306,10.38194466,5.739156247,34.42599479,7.109746494,40.94471367,0.905654759,13.42548272,20.17096062,255.7139387,8
9,Slab,SF,One,No,Large,Masonry,31.88570605,499.7038942,6.663445629,5.786343562,17.20372293,2.293409871,28.97458368,55.85911102,100.3892038,11.40795267,0,760.1673734,29.07976392,60.4641712,13.2602568,9.431740006,5.173464626,34.36608989,6.298671191,34.34006414,0.749907352,11.05090313,16.89567404,221.1107063,9
10,Slab,SF,One,Yes,Small,Masonry,58.75296878,799.1276096,10.47057021,9.595040775,25.12560347,3.173904957,40.76124151,78.93495303,186.6869325,19.14710777,0,1231.775933,53.58270753,96.69444076,20.83643471,15.63991646,7.555714614,49.78083105,8.657082715,54.54549491,1.394551386,19.47376645,26.8528788,355.0138194,10
11,Slab,SF,One,No,Small,Masonry,46.48315419,618.0694799,8.704229284,8.345867262,21.49318619,3.145202776,33.09826736,56.74051626,146.3542808,14.59930315,0,957.0334872,42.39263662,74.78640707,17.32141627,13.60376364,6.463382312,49.65246342,7.205054358,42.12780828,1.093266477,15.00459697,20.89557437,290.5463698,11
12,Slab,SF,Multiple,Yes,Large,Masonry,43.16946955,503.6610676,7.410641268,7.200486362,21.90601481,2.36811284,38.54905158,41.78357695,138.7776749,13.00151418,0,817.82761,39.37055623,60.94298917,14.74717612,11.73679277,6.5875272,39.59598514,9.12833898,32.42992789,1.036669231,14.04497594,18.86969247,248.4906311,12
13,Slab,SF,Multiple,No,Large,Masonry,37.2684767,414.7186289,6.503790815,6.617538722,20.157741,2.354718489,34.26274042,28.90914335,119.3763948,10.63619608,0,680.8053693,33.98885075,50.1809541,12.94254372,10.78658812,6.061790254,39.53608025,8.317480418,25.82527836,0.891741669,11.80761381,15.85676326,216.1956847,13
14,Slab,SF,Multiple,No,Small,Masonry,53.93421534,542.4501798,9.066422093,9.985087654,28.99527857,3.306539937,41.60212288,30.23918861,172.77041,14.50686731,0,906.8563122,49.18800439,65.63647176,18.04217997,16.27569288,8.719394552,56.1993324,10.11328922,37.57702626,1.290594963,16.89733271,20.67203955,300.6113586,14
15,Strip,MF,Multiple,No,Large,Podium,7.955326978,161.9425109,3.822223696,3.480334231,22.15397366,1.038867747,43.99687742,16.79162598,33.06793976,14.03862539,0,308.2883058,7.255258204,19.59504382,7.606225155,5.672944796,6.662092823,16.76509038,11.30944908,25.05805146,0.24701751,5.821003858,9.330136618,115.3223137,15
